,MovieName,Director,Actors,Year,Country,Grenre,Rating10,RatingNum,Description,,Path
0,肖申克的救赎, 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,9.6,1230378人评价,希望让人自由。,,static\pics\肖申克的救赎.jpg
1,霸王别姬, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 香港,剧情 爱情 同性,9.6,905721人评价,风华绝代。,,static\pics\霸王别姬.jpg
2,这个杀手不太冷, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国,剧情 动作 犯罪,9.4,1131289人评价,怪蜀黍和小萝莉不得不说的故事。,,static\pics\这个杀手不太冷.jpg
3,阿甘正传, Robert Zemeckis, Tom Hanks / Robin Wright Penn / Gary Sinise,1994,美国,剧情 爱情,9.4,970134人评价,一部美国近现代史。,,static\pics\阿甘正传.jpg
4,美丽人生, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,9.5,566823人评价,最美的谎言。,,static\pics\美丽人生.jpg
5,泰坦尼克号, 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 爱情 灾难,9.3,905712人评价,失去的才是永恒的。,,static\pics\泰坦尼克号.jpg
6,千与千寻, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi H?ragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,9.3,898562人评价,最好的宫崎骏，最好的久石让。,,static\pics\千与千寻.jpg
7,辛德勒的名单, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,9.5,509213人评价,拯救一个人，就是拯救整个世界。,,static\pics\辛德勒的名单.jpg
8,盗梦空间, 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,9.3,985153人评价,诺兰给了我们一场无法盗取的梦。,,static\pics\盗梦空间.jpg
9,机器人总动员, 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,爱情 科幻 动画 冒险,9.3,653787人评价,小瓦力，大人生。,,static\pics\机器人总动员.jpg
10,忠犬八公的故事, 莱塞·霍尔斯道姆 Lasse Hallstr?m, 理查·基尔 Richard Ger...,2009,美国 英国,剧情,9.3,639873人评价,永远都不能忘记你所爱的人。,,static\pics\忠犬八公的故事.jpg
11,三傻大闹宝莱坞, 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,9.2,882141人评价,英俊版憨豆，高情商版谢耳朵。,,static\pics\三傻大闹宝莱坞.jpg
12,海上钢琴师, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,9.2,735558人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,,static\pics\海上钢琴师.jpg
13,放牛班的春天, 克里斯托夫·巴拉蒂 Christophe Barratier, 杰拉尔·朱诺 Géra...,2004,法国 瑞士 德国,剧情 音乐,9.2,607331人评价,天籁一般的童声，是最接近上帝的存在。,,static\pics\放牛班的春天.jpg
14,大话西游之大圣娶亲, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险,9.2,673264人评价,一生所爱。,,static\pics\大话西游之大圣娶亲.jpg
15,楚门的世界, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,9.2,653209人评价,如果再也不能见到你，祝你早安，午安，晚安。,,static\pics\楚门的世界.jpg
16,星际穿越, 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,9.2,667026人评价,爱是一种力量，让我们超越时空感知它的存在。,,static\pics\星际穿越.jpg
17,教父, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M...,1972,美国,剧情 犯罪,9.2,446436人评价,千万不要记恨你的对手，这样会让你失去理智。,,static\pics\教父.jpg
